"cod6","ano","agente","casos","populacao","fonte_populacao","populacao_unica","incid_100k","incid_100k_pop2024","incid_eb_100k","incid_pad_100k"
"330100",2023,"influenza",15,500465,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",519011,2.99721259228917,2.89011215561905,3.06184574467644,2.81984374133967
"330100",2024,"influenza",23,519011,"Estimativa da população residente, 1º de julho de 2024",519011,4.43150530528255,4.43150530528255,4.73722969683358,4.40474754474041
"330100",2025,"influenza",42,519259,"Estimativa da população residente, 1º de julho de 2025",519011,8.08844911691468,8.09231403573335,8.24743187318924,7.91692137655501
"330100",2022,"sarscov2",459,483540,"Censo 2022, população residente (data de referência 01/08/2022)",519011,94.9249286511974,88.437431961943,94.9753337741817,103.079827062799
"330100",2023,"sarscov2",139,500465,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",519011,27.7741700218797,26.7817059754032,27.7385814649212,29.223166283649
"330100",2024,"sarscov2",81,519011,"Estimativa da população residente, 1º de julho de 2024",519011,15.6066056403429,15.6066056403429,15.5411149384495,16.0293605293246
"330100",2025,"sarscov2",14,519259,"Estimativa da população residente, 1º de julho de 2025",519011,2.69614970563823,2.69743801191112,3.02051595475263,2.66514485829988
"330100",2022,"vsr",19,483540,"Censo 2022, população residente (data de referência 01/08/2022)",519011,3.92935434503867,3.6608087304508,4.11483694802491,3.31664603445704
"330100",2023,"vsr",31,500465,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",519011,6.19423935739762,5.97289845494604,6.17481859502819,5.18463385380123
"330100",2024,"vsr",46,519011,"Estimativa da população residente, 1º de julho de 2024",519011,8.86301061056509,8.86301061056509,9.05175756719402,7.4317297891695
"330100",2025,"vsr",52,519259,"Estimativa da população residente, 1º de julho de 2025",519011,10.0142703352277,10.0190554728127,10.3143253743706,8.54417028050622
"330110",2022,"influenza",2,19390,"Censo 2022, população residente (data de referência 01/08/2022)",19996,10.3145951521403,10.00200040008,6.8395234876118,9.82160609002074
"330110",2023,"influenza",2,19679,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",19996,10.1631180446161,10.00200040008,6.32341776620781,8.44766936685046
"330110",2024,"influenza",3,19996,"Estimativa da população residente, 1º de julho de 2024",19996,15.00300060012,15.00300060012,12.0191381254564,14.0274426071271
"330110",2025,"influenza",4,19995,"Estimativa da população residente, 1º de julho de 2025",19996,20.0050012503126,20.00400080016,18.6085061664454,19.8972776883227
"330110",2022,"sarscov2",39,19390,"Censo 2022, população residente (data de referência 01/08/2022)",19996,201.134605466735,195.03900780156,188.938472018347,180.710188270121
"330110",2023,"sarscov2",4,19679,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",19996,20.3262360892322,20.00400080016,21.2179144738583,17.7561426728277
"330110",2024,"sarscov2",1,19996,"Estimativa da população residente, 1º de julho de 2024",19996,5.00100020004001,5.00100020004001,8.48724015149745,4.09013284797483
"330110",2025,"sarscov2",0,19995,"Estimativa da população residente, 1º de julho de 2025",19996,0,0,4.54213274877242,0
"330110",2022,"vsr",0,19390,"Censo 2022, população residente (data de referência 01/08/2022)",19996,0,0,4.32234809591151,0
"330110",2023,"vsr",0,19679,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",19996,0,0,2.43605637258149,0
"330110",2024,"vsr",0,19996,"Estimativa da população residente, 1º de julho de 2024",19996,0,0,7.54917050914665,0
"330110",2025,"vsr",1,19995,"Estimativa da população residente, 1º de julho de 2025",19996,5.00125031257814,5.00100020004001,11.8084000027093,4.34100647982441
"330115",2022,"influenza",0,12958,"Censo 2022, população residente (data de referência 01/08/2022)",13403,0,0,1.28911800994316,0
"330115",2023,"influenza",1,13170,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",13403,7.59301442672741,7.46101619040513,5.05131159850717,7.23403483313957
"330115",2024,"influenza",3,13403,"Estimativa da população residente, 1º de julho de 2024",13403,22.3830485712154,22.3830485712154,13.8455482272524,21.9799138156402
"330115",2025,"influenza",0,13407,"Estimativa da população residente, 1º de julho de 2025",13403,0,0,7.083304732977,0
"330115",2022,"sarscov2",2,12958,"Censo 2022, população residente (data de referência 01/08/2022)",13403,15.4344806297268,14.9220323808103,31.0178033884817,13.1908669034045
